benchmark,onnx_file,vnnlib_file,verdict,wall_s,train_s,verify_s,vnncomp_timeout_s,coverage,q,epsilon_total,delta_total,amls_bounded_eps_2_upper,amls_bounded_detected_unsafe,amls_levels_used,cex_x,cex_y,error,timestamp
acasxu_2023,ACASXU_run2a_5_6_batch_2000.onnx,prop_2.vnnlib,UNKNOWN,27.3,26.9,0.1,116,0.9995,40.5133,0.0357,0.9960,3.4699e-02,True,1,,,,2026-05-02T00:56:53.343123+00:00
acasxu_2023,ACASXU_run2a_5_7_batch_2000.onnx,prop_2.vnnlib,UNKNOWN,32.0,31.4,0.1,116,1.0000,8.6862,0.1243,0.9960,1.2342e-01,True,1,,,,2026-05-02T00:57:33.890465+00:00
acasxu_2023,ACASXU_run2a_5_8_batch_2000.onnx,prop_2.vnnlib,UNKNOWN,26.8,26.2,0.1,116,1.0000,16.8289,0.0997,0.9960,9.8774e-02,True,1,,,,2026-05-02T00:58:09.337272+00:00
acasxu_2023,ACASXU_run2a_5_9_batch_2000.onnx,prop_2.vnnlib,UNKNOWN,30.3,29.7,0.1,116,1.0000,7.5347,0.1432,0.9960,1.4237e-01,True,1,,,,2026-05-02T00:58:48.473545+00:00
acasxu_2023,ACASXU_run2a_1_1_batch_2000.onnx,prop_3.vnnlib,UNSAT,37.5,25.8,11.2,116,1.0000,5.0442,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T00:59:34.514957+00:00
acasxu_2023,ACASXU_run2a_1_2_batch_2000.onnx,prop_3.vnnlib,UNSAT,41.7,30.1,11.1,116,1.0000,4.0042,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T01:00:24.978520+00:00
acasxu_2023,ACASXU_run2a_1_3_batch_2000.onnx,prop_3.vnnlib,UNSAT,42.2,30.7,11.1,116,1.0000,4.4968,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T01:01:15.747319+00:00
acasxu_2023,ACASXU_run2a_1_4_batch_2000.onnx,prop_3.vnnlib,UNSAT,37.8,26.1,11.2,116,1.0000,3.9876,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T01:02:02.252721+00:00
acasxu_2023,ACASXU_run2a_1_5_batch_2000.onnx,prop_3.vnnlib,UNSAT,40.3,28.7,11.1,116,1.0000,4.3920,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T01:02:51.231187+00:00
acasxu_2023,ACASXU_run2a_1_6_batch_2000.onnx,prop_3.vnnlib,UNSAT,42.2,30.4,11.3,116,1.0000,5.4539,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T01:03:41.981957+00:00
acasxu_2023,ACASXU_run2a_1_7_batch_2000.onnx,prop_3.vnnlib,SAT,0.1,0.0,0.0,116,,,,,,,,"[-0.29983821511268616, 0.004844718147069216, 0.4964596629142761, 0.3207450211048126, 0.49337038397789]","[-0.020312519744038582, -0.018860207870602608, -0.018982693552970886, -0.01793908141553402, -0.0179126039147377]",,2026-05-02T01:03:49.660651+00:00
acasxu_2023,ACASXU_run2a_1_8_batch_2000.onnx,prop_3.vnnlib,SAT,0.1,0.0,0.0,116,,,,,,,,"[-0.29983821511268616, 0.004844718147069216, 0.4964596629142761, 0.3207450211048126, 0.49337038397789]","[-0.02025613747537136, -0.019060764461755753, -0.019045403227210045, -0.017956677824258804, -0.01797468028962612]",,2026-05-02T01:03:57.030923+00:00
acasxu_2023,ACASXU_run2a_1_9_batch_2000.onnx,prop_3.vnnlib,SAT,0.1,0.0,0.0,116,,,,,,,,"[-0.29983821511268616, 0.004844718147069216, 0.4964596629142761, 0.3207450211048126, 0.49337038397789]","[-0.020170805975794792, -0.019079508259892464, -0.01904105953872204, -0.018152059987187386, -0.018214842304587364]",,2026-05-02T01:04:03.367654+00:00
acasxu_2023,ACASXU_run2a_2_1_batch_2000.onnx,prop_3.vnnlib,UNSAT,46.4,30.6,15.4,116,1.0000,4.1878,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T01:04:58.114802+00:00
acasxu_2023,ACASXU_run2a_2_2_batch_2000.onnx,prop_3.vnnlib,UNSAT,37.3,25.7,11.2,116,1.0000,10.9893,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T01:05:44.271810+00:00
acasxu_2023,ACASXU_run2a_2_3_batch_2000.onnx,prop_3.vnnlib,UNSAT,43.4,31.5,11.3,116,1.0000,4.6600,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T01:06:36.134100+00:00
acasxu_2023,ACASXU_run2a_2_4_batch_2000.onnx,prop_3.vnnlib,UNSAT,44.2,32.5,11.3,116,0.9995,4.0323,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T01:07:29.034771+00:00
acasxu_2023,ACASXU_run2a_2_5_batch_2000.onnx,prop_3.vnnlib,UNSAT,44.9,33.2,11.3,116,1.0000,4.1197,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T01:08:22.538738+00:00
acasxu_2023,ACASXU_run2a_2_6_batch_2000.onnx,prop_3.vnnlib,UNSAT,47.7,32.2,15.0,116,0.9995,4.2687,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T01:09:18.807512+00:00
acasxu_2023,ACASXU_run2a_2_7_batch_2000.onnx,prop_3.vnnlib,UNSAT,45.1,33.4,11.2,116,0.9995,4.2385,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T01:10:12.687015+00:00
acasxu_2023,ACASXU_run2a_2_8_batch_2000.onnx,prop_3.vnnlib,UNSAT,46.6,31.0,15.1,116,1.0000,5.6395,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T01:11:07.763146+00:00
acasxu_2023,ACASXU_run2a_2_9_batch_2000.onnx,prop_3.vnnlib,UNSAT,45.3,33.5,11.3,116,1.0000,4.5913,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T01:12:01.792418+00:00
acasxu_2023,ACASXU_run2a_3_1_batch_2000.onnx,prop_3.vnnlib,UNSAT,43.8,27.9,15.4,116,0.9995,4.6062,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T01:12:54.080890+00:00
