instance_idx,box_idx,onnx_file,vnnlib_file,ground_truth,method,verdict,q,coverage,epsilon_total,amls_bounded_eps_2_upper,flow_train_s,verify_s,wall_s,error,timestamp
96,0,ACASXU_run2a_3_4_batch_2000.onnx,prop_1.vnnlib,unsat,scenario,UNSAT,9.131055,1.0000,4.4504e-03,,29.7,0.1,29.8,,2026-05-06T20:21:40.796530+00:00
97,0,ACASXU_run2a_1_2_batch_2000.onnx,prop_1.vnnlib,unsat,scenario,UNSAT,14.022133,0.9985,4.4504e-03,,27.1,0.1,27.2,,2026-05-06T20:22:38.349143+00:00
98,0,ACASXU_run2a_2_3_batch_2000.onnx,prop_2.vnnlib,sat,scenario,UNKNOWN,8.141217,1.0000,4.4504e-03,,30.1,0.1,30.2,,2026-05-06T20:23:38.852597+00:00
99,0,ACASXU_run2a_3_2_batch_2000.onnx,prop_1.vnnlib,unsat,scenario,UNSAT,10.662302,1.0000,4.4504e-03,,29.6,0.1,29.8,,2026-05-06T20:24:08.878270+00:00
100,0,ACASXU_run2a_4_9_batch_2000.onnx,prop_3.vnnlib,unsat,scenario,UNSAT,3.811904,1.0000,1.3450e-03,,29.3,0.3,29.5,,2026-05-06T20:25:08.735315+00:00
101,0,ACASXU_run2a_3_1_batch_2000.onnx,prop_3.vnnlib,unsat,scenario,UNSAT,4.606270,0.9995,1.3450e-03,,27.7,0.3,28.0,,2026-05-06T20:25:59.417545+00:00
102,0,ACASXU_run2a_2_9_batch_2000.onnx,prop_4.vnnlib,unsat,scenario,UNSAT,3.189683,1.0000,1.3450e-03,,28.0,0.3,28.3,,2026-05-06T20:26:50.432792+00:00
103,0,ACASXU_run2a_2_9_batch_2000.onnx,prop_2.vnnlib,sat,scenario,UNKNOWN,5.724533,1.0000,4.4504e-03,,28.5,0.1,28.6,,2026-05-06T20:27:41.651136+00:00
104,0,ACASXU_run2a_1_4_batch_2000.onnx,prop_2.vnnlib,sat,scenario,UNKNOWN,8.996649,1.0000,4.4504e-03,,28.1,0.1,28.2,,2026-05-06T20:28:10.030327+00:00
105,0,ACASXU_run2a_4_8_batch_2000.onnx,prop_4.vnnlib,unsat,scenario,UNSAT,4.119376,0.9995,1.3450e-03,,27.1,0.3,27.4,,2026-05-06T20:28:37.612941+00:00
106,0,ACASXU_run2a_4_2_batch_2000.onnx,prop_4.vnnlib,unsat,scenario,UNSAT,4.347111,0.9995,1.3450e-03,,29.0,0.3,29.2,,2026-05-06T20:29:29.479234+00:00
107,0,ACASXU_run2a_2_6_batch_2000.onnx,prop_1.vnnlib,unsat,scenario,UNSAT,5.243239,0.9985,4.4504e-03,,29.8,0.1,29.9,,2026-05-06T20:30:21.924416+00:00
108,0,ACASXU_run2a_4_6_batch_2000.onnx,prop_2.vnnlib,sat,scenario,UNKNOWN,9.180662,1.0000,4.4504e-03,,27.2,0.1,27.3,,2026-05-06T20:31:11.820389+00:00
109,0,ACASXU_run2a_5_4_batch_2000.onnx,prop_4.vnnlib,unsat,scenario,UNSAT,3.955501,0.9995,1.3450e-03,,25.8,0.3,26.1,,2026-05-06T20:31:38.095663+00:00
110,0,ACASXU_run2a_2_4_batch_2000.onnx,prop_3.vnnlib,unsat,scenario,UNSAT,4.032305,0.9995,1.3450e-03,,25.4,0.3,25.7,,2026-05-06T20:32:26.376487+00:00
111,0,ACASXU_run2a_3_4_batch_2000.onnx,prop_2.vnnlib,sat,scenario,UNKNOWN,9.131055,1.0000,4.4504e-03,,28.2,0.1,28.3,,2026-05-06T20:33:17.230676+00:00
112,0,ACASXU_run2a_1_4_batch_2000.onnx,prop_3.vnnlib,unsat,scenario,UNSAT,3.987602,1.0000,1.3450e-03,,27.8,0.3,28.0,,2026-05-06T20:33:45.462673+00:00
113,0,ACASXU_run2a_4_5_batch_2000.onnx,prop_4.vnnlib,unsat,scenario,UNSAT,4.595300,1.0000,1.3450e-03,,30.0,0.3,30.3,,2026-05-06T20:34:42.518041+00:00
114,0,ACASXU_run2a_1_1_batch_2000.onnx,prop_5.vnnlib,unsat,scenario,UNKNOWN,5.984825,1.0000,5.4856e-03,,30.7,0.9,31.6,,2026-05-06T20:35:44.467368+00:00
115,0,ACASXU_run2a_2_1_batch_2000.onnx,prop_3.vnnlib,unsat,scenario,UNSAT,4.187854,1.0000,1.3450e-03,,30.1,0.3,30.4,,2026-05-06T20:36:33.342158+00:00
116,0,ACASXU_run2a_5_7_batch_2000.onnx,prop_3.vnnlib,unsat,scenario,UNSAT,4.060166,1.0000,1.3450e-03,,30.5,0.3,30.8,,2026-05-06T20:37:34.652461+00:00
117,0,ACASXU_run2a_5_4_batch_2000.onnx,prop_1.vnnlib,unsat,scenario,UNSAT,6.935943,1.0000,4.4504e-03,,30.0,0.1,30.1,,2026-05-06T20:38:35.026110+00:00
118,0,ACASXU_run2a_5_2_batch_2000.onnx,prop_3.vnnlib,unsat,scenario,UNSAT,4.092597,1.0000,1.3450e-03,,30.0,0.3,30.3,,2026-05-06T20:39:35.618458+00:00
119,0,ACASXU_run2a_1_6_batch_2000.onnx,prop_1.vnnlib,unsat,scenario,UNSAT,7.911792,1.0000,4.4504e-03,,30.0,0.1,30.1,,2026-05-06T20:40:35.993014+00:00
120,0,ACASXU_run2a_4_1_batch_2000.onnx,prop_2.vnnlib,sat,scenario,UNKNOWN,332.995483,1.0000,4.4504e-03,,28.0,0.1,28.1,,2026-05-06T20:41:34.404948+00:00
